1;Qui a réussi à imposer la commercialisation de la poubelle ?;Eugène Poubelle;Louis Lépine;Bertrand Landrieu;Ferdinand Duval;Débutant;Préfet de la Seine, il a donné son nom aux poubelles à travers ses décisions pour améliorer l'hygiène de la ville de Paris.;http://fr.wikipedia.org/wiki/Eugène_Poubelle
2;Laquelle de ces inventions ne porte pas le nom de son inventeur ?;Le laser;Le colt;La poubelle;Le macadam;Débutant;En 1950, Alfred Kastler proposa un procédé de pompage optique, qu'il valida expérimentalement deux ans plus tard.;http://fr.wikipedia.org/wiki/Laser
3;Quelle compétition prime chaque année les meilleures inventions françaises ?;Le Concours Lépine;Le Concours Edison;Le Concours Thomas;Le Concours Novastar;Débutant;Ce concours-exposition de jouets était destiné à sortir les petits fabricants du marasme économique ambiant.;http://fr.wikipedia.org/wiki/Concours_Lépine
4;Quel jeu de société international Chris Haney et Scott Abbott ont-ils créé ?;Trivial Pursuit;Monopoly;Puissance 4;Cluedo;Débutant;Le jeu a été commercialisé en France sous le nom Remue-méninges avant de connaître le succès.;http://fr.wikipedia.org/wiki/Trivial_Pursuit
5;Qui a inventé la dynamite au moyen de la nitroglycérine ?;Alfred Nobel;Albert Einstein;Lavoisier;Isaac Newton;Débutant;La dynamite a été très utilisée, notamment dans l'industrie minière, jusqu'à son remplacement par des explosifs plus puissants.;http://fr.wikipedia.org/wiki/Dynamite
6;Quel biologiste français a inventé la pasteurisation de la bière ?;Louis Pasteur;Maurice Fontaine;Thomas Preat;Laurent Chabry;Débutant;La pasteurisation est un procédé de conservation des aliments par lequel ceux-ci sont chauffés puis refroidis rapidement.;http://fr.wikipedia.org/wiki/Pasteurisation
7;Quel inventeur italien a conçu à la fin du XVe siècle un canon et un parachute ?;Léonard de Vinci;Roberto Galletti;Ettore Bugatti;Alessandro Volta;Débutant;De Vinci a fait progresser la connaissance dans les domaines de l'anatomie, du génie civil, de l'optique et de l'hydrodynamique.;http://fr.wikipedia.org/wiki/Léonard_de_Vinci
8;Selon des textes anciens, dans quel pays a-t-on inventé le cerf-volant ?;En Chine;En Inde;Aux États-Unis;Au Mexique;Débutant;À l'origine, le cerf-volant servait de signal, à porter des messages, à effrayer les ennemis ou évaluer des distances.;http://fr.wikipedia.org/wiki/Cerf-volant
9;En quelle année la couturière Mary Quant a-t-elle inventé la minijupe ?;1964;1974;1954;1944;Débutant;En 1966, Mary Quant fut promue Officier de l'Ordre de l'Empire britannique pour services rendus à l'industrie de la mode.;http://fr.wikipedia.org/wiki/Mary_Quant
10;Quel billet le banquier Law a-t-il inventé au XVIIIe siècle ?;Le billet de banque;Le billet de loterie;Le billet doux;Le billet notarial;Débutant;John Law recommanda l'utilisation de papier-monnaie plutôt que de monnaie métal afin de faciliter le commerce et l'investissement.;http://fr.wikipedia.org/wiki/Système_de_Law
11;Quel terme fut inventé en 1955 par le philologue français Jacques Perret ?;Ordinateur;Transistor;Imprimante;Ampoule;Confirmé;Le terme voulait dire, selon les intentions du docteur en lettres, « Dieu mettant de l'ordre dans le monde ».;http://fr.wikipedia.org/wiki/Jacques_Perret_(philologue)
12;Quel français a inventé le stéthoscope, alors une simple liasse de papiers roulés ?;René Laennec;Louis Pasteur;Léon Binet;Louis Braille;Confirmé;Ce procédé permettait d'éloigner l'oreille du médecin de son patient pour des raisons de pudeur et d'efficacité.;http://fr.wikipedia.org/wiki/Stéthoscope
13;Quelle grande marque inventa en 1936 le sac à dos aux nombreuses applications ?;Lafuma;Puma;Adidas;Lacoste;Confirmé;Du transport de matériel scolaire aux utilisations sportives ou professionnelles, chaque sac est adapté à son utilisation.;http://fr.wikipedia.org/wiki/Sac_à_dos
14;Charles Darrow, inventeur du jeu de Monopoly, était lors de son invention en 1935...;Au chômage;Banquier;Agent immobilier;En prison;Confirmé;Malgré de nombreuses difficultés, il réussit finalement à faire éditer son jeu par la société Parker Brothers en 1935.;http://fr.wikipedia.org/wiki/Charles_Darrow
15;Quel savant italien a découvert le principe de la pile électrique ?;Volta;Bugatti;Turriano;Marconi;Confirmé;À l'origine, le terme « pile » désignait un dispositif inventé par Alessandro Volta, composé d'un empilement de rondelles.;http://fr.wikipedia.org/wiki/Pile_électrique
16;Quelle invention Nicolas Appert a-t-il mise au point pour les armées de Napoléon ?;La conserve;Le lit de camp;Le tissu imperméable;Le ceinturon;Confirmé;Nicolas Appert a créé en France par sa méthode de conservation la première usine de conserves au monde.;http://fr.wikipedia.org/wiki/Nicolas_Appert
17;Quelle marque a inventé la cassette audio ou minicassette ?;Philips;Sony;BASF;Fuji;Confirmé;Bien que le CD ait supplanté la cassette audio, on peut encore en trouver des exemplaires vierges dans beaucoup d'enseignes.;http://fr.wikipedia.org/wiki/Cassette_audio
18;Quel célèbre médecin a conçu une table de correspondance entre les rêves et les organes ?;Hippocrate;Pythagore;Pilate;Icare;Confirmé;« Père de la Médecine », son école de médecine hippocratique a intellectuellement révolutionné la pratique de la médecine.;http://fr.wikipedia.org/wiki/Hippocrate
19;À qui doit-on le prototype de la première dynamo industrielle réalisé en 1869 ?;Zénobe Gramme;John Cockerill;Frédéric Neuhaus;Victor Simon;Confirmé;La dynamo est une machine à courant continu fonctionnant en générateur électrique par induction électromagnétique.;http://fr.wikipedia.org/wiki/Zénobe_Gramme
20;Quel physicien et mathématicien italien a inventé le baromètre en 1643 ?;Evangelista Torricelli;Giuseppe Piazzi;Pietro Blaserna;Orazio Grassi;Confirmé;Un baromètre, pouvant servir d'altimètre, est un instrument de mesure servant à mesurer la pression atmosphérique.;http://fr.wikipedia.org/wiki/Baromètre
21;Quel ingénieur écossais fut le premier à utiliser le terme « cheval-vapeur » ?;James Watt;Henry Dyer;Alexander Thom;William Rankine;Expert;En 1879, les 38 lignes d'omnibus de Paris requéraient l'entretien de pas moins de 16 500 chevaux.;http://fr.wikipedia.org/wiki/Cheval-vapeur
22;Selon la légende, quelle spécialité le grec Aphtonite aurait-il inventée ?;Le boudin noir;Le saucisson;Les rillettes;Le jambon cru;Expert;Il est fabriqué à partir de sang et de graisse de porc, et, dans une moindre mesure, de sang de mouton et de chèvre.;http://fr.wikipedia.org/wiki/Boudin_noir
23;Quelle société a inventé (et pas breveté) la souris de votre ordinateur ?;Xerox;Microsoft;Hewlett Packard;IBM;Expert;Douglas Carl Engelbart a déposé 21 brevets au total, dont un pour sa souris en 1967, qu'il reçut en 1970.;http://fr.wikipedia.org/wiki/Douglas_Engelbart
24;Quel était le métier de Samuel Morse qui déposa en 1840 le brevet du télégraphe ?;Peintre sculpteur;Compositeur interprète;Écrivain éditeur;Chorégraphe danseur;Expert;Le génie de Samuel Morse a été de concevoir une machine simple, efficace, bon marché et robuste à la fois.;http://fr.wikipedia.org/wiki/Samuel_Morse
25;Quel docteur et professeur en médecine est surtout connu pour avoir inventé le basket-ball ?;James Naismith;Gordon Herbert;Martin Roy;Jacques Dextraze;Expert;Durant sa jeunesse Naismith était un gymnaste et un joueur de football canadien de haut niveau à l'université McGill.;http://fr.wikipedia.org/wiki/James_Naismith
26;Dans quel pays le Lego a-t-il été inventé par un charpentier ?;Danemark;Norvège;Suède;Finlande;Expert;Le nom de la société fut créé par Ole Kirk Christiansen en 1932, à partir du danois « leg godt », signifiant « joue bien ».;http://fr.wikipedia.org/wiki/Lego
27;Quel inventeur français a mis au point la première carte à puce ?;Roland Moreno;Léon Bollée;Henri Fourel;Gustave Lyon;Expert;Roland Moreno a reçu pour son invention l'Oscar du livre mondial des inventions en 1985.;http://fr.wikipedia.org/wiki/Roland_Moreno
28;Combien de brevets furent déposés par Thomas Edison au cours de sa vie ?;1 074;57;234;421;Expert;Thomas Edison employa au cours de sa vie plus de 35 000 personnes dans son « empire industriel » fondé sur l'électricité.;http://fr.wikipedia.org/wiki/Thomas_Edison
29;Louis Réard a inventé le bikini, mais quel était son véritable métier ?;Ingénieur automobile;Barbier;Charcutier;Coiffeur;Expert;Il le présenta en 1946 à la piscine Molitor, porté par Micheline Bernardini, une danseuse nue bien connue du Casino de Paris.;http://fr.wikipedia.org/wiki/Bikini_(vêtement)
30;Quelle était la nationalité des deux ingénieurs inventeurs du carburateur ?;Hongroise;Roumaine;Suisse;Autrichienne;Expert;Cet organe permet de préparer un mélange d'air et de carburant pour constituer un mélange de richesse adéquate.;http://fr.wikipedia.org/wiki/Carburateur1;Avec quel appareil peut-on mesurer la profondeur des océans ?;Un sonar;Un radar;Un compteur Geiger;Un sextant;Débutant;Un sonar est un appareil utilisant les propriétés de la propagation du son dans l'eau pour détecter et situer les objets sous l'eau.;http://fr.wikipedia.org/wiki/Sonar
2;Quel petit objet est utilisé pour maintenir solidaire une liasse de feuilles de papier ?;Un trombone;Un stencil;Un post-it;Un Rolodex;Débutant;Le mot s'emploie pour désigner la petite « agrafe provisoire » permettant d'assembler plusieurs feuilles de papier.;http://fr.wikipedia.org/wiki/Trombone_(papeterie)
3;Combien de trous possédait autrefois le cadran de votre ancien téléphone ?;10 trous;8 trous;12 trous;6 trous;Débutant;Le cadran était alors composé d'un disque rotatif autour duquel sont portés les chiffres de 1 à 9 puis 0.;http://fr.wikipedia.org/wiki/Cadran_téléphonique
4;Contre quoi un paratonnerre avec mise à la terre protège-t-il un bâtiment ?;La foudre;La pluie;Le vent;Le soleil;Débutant;Pour construire une protection contre la foudre, il faut construire une cage de Faraday enveloppant l'édifice à protéger.;http://fr.wikipedia.org/wiki/Paratonnerre
5;Quel appareil de levage permet entre autre de soulever une voiture ?;Un cric;Une rustine;Un delco;Un hayon;Débutant;L'utilisation la plus fréquente du cric permet de changer une roue après une crevaison ou un problème de pneumatique.;http://fr.wikipedia.org/wiki/Cric
6;Quel appareil, redouté par toutes les femmes, sert à arracher le poil ?;Un épilateur;Un aspirateur;Un sèche-cheveux;Un vibromasseur;Débutant;Les raisons invoquées vont des critères cosmétiques de beauté, de traditions ethniques aux soucis de confort ou d'hygiène.;http://fr.wikipedia.org/wiki/Épilation
7;Que retrouve-ton traditionnellement à l'intérieur d’un juke-box ?;Des disques;Des friandises;Des fruits;Des jeux vidéo;Débutant;Un juke-box (ou jukebox) est un appareil public capable de jouer automatiquement de la musique enregistrée.;http://fr.wikipedia.org/wiki/Juke-box
8;Quel accessoire, indispensable pour jouer au 421, peut être « pipé » ?;Un dé;Une carte;Une cible;Un tapis;Débutant;Les dés les plus courants sont des petits cubes de 1 à 2 cm de côté, possédant donc 6 faces numérotées de 1 à 6.;http://fr.wikipedia.org/wiki/Dé
9;De quel organe du corps humain un pacemaker règle-t-il le rythme ?;Le cœur;Le foie;Le rein;Le poumon;Débutant;C'est en 1781 que Luigi Galvani constate que la stimulation électrique d'un nerf provoque la contraction du muscle relié.;http://fr.wikipedia.org/wiki/Stimulateur_cardiaque
10;Quel appareil électroménager peut être « balai », « sans sac » ou « à main » ?;Aspirateur;Cuit vapeur;Frigidaire;Grille-pain;Débutant;L'aspirateur motorisé a été inventé en 1901 par l’ingénieur britannique Hubert Cecil Booth, né à Paris en 1871.;http://fr.wikipedia.org/wiki/Aspirateur
11;Quel ustensile sert à couper les légumes en très fines tranches ?;Une mandoline;Un bandonéon;Un hachoir;Un massicot;Confirmé;La mandoline est généralement en inox pour les professionnels ou en matière plastique ABS pour les particuliers.;http://fr.wikipedia.org/wiki/Mandoline_(ustensile)
12;En alpinisme, quelle lame métallique est enfoncée dans une fissure avec un marteau ?;Un piton;Un piolet;Un crampon;Un baudrier;Confirmé;Les pitons ont été le premier type de matériel de protection, et sont toujours utilisés quand rien d'autre ne convient.;http://fr.wikipedia.org/wiki/Piton
13;Quel mammifère a donné son nom à un instrument de rasage ?;Le blaireau;Le buffle;Le bouquetin;Le bison;Confirmé;Traditionnellement fabriqué en poils de blaireau, il en existe aussi en soies de sanglier, en crin de cheval ou poils synthétiques.;http://fr.wikipedia.org/wiki/Blaireau_(rasage)
14;Quel outil utilise-t-on pour alimenter un foyer en air, domestique ou industriel ?;Un soufflet;Une estrapade;Une chasse;Un burin;Confirmé;Divers instruments de musique sont également munis de soufflets, tel l'orgue, l'accordéon ou diverses cornemuses.;http://fr.wikipedia.org/wiki/Soufflet_(outil)
15;Quel long balai-brosse est généralement utilisé pour ramoner une cheminée ?;Un hérisson;Une girafe;Un col de cygne;Un blaireau;Confirmé;Les ramoneurs étaient souvent atteints de déformations articulaires, de brûlures et de cancer causé par la suie.;http://fr.wikipedia.org/wiki/Hérisson_(homonymie)
16;Quel objet du quotidien peut être à la fois aiguille, bobine, plat ou crayon ?;Un talon;Un fil;Une assiette;Une pince;Confirmé;Un talon peut être la partie rigide à l'arrière d'une chaussure qui se pose sur le sol et sur laquelle repose l'arrière du pied.;http://fr.wikipedia.org/wiki/Talon_(chaussure)
17;Quel appareil permet de surveiller la surface de la mer depuis un sous-marin en plongée ?;Le périscope;Le catadioptre;Le monocle;Le fibroscope;Confirmé;Depuis l'avènement du matériel vidéo et de la fibre optique, le périscope est souvent remplacé par une caméra.;http://fr.wikipedia.org/wiki/Périscope
18;Comment appelle-t-on familièrement des bottes à bout pointu et talon biseauté ?;Des santiag;Des mocassins;Des mules;Des charentaises;Confirmé;Les santiags ou bottes de cowboy, au talon assez haut, sont principalement fabriquées à base de cuir de vachette.;http://fr.wikipedia.org/wiki/Santiag
19;En aviation, quelle est la couleur de la boîte noire enregistrant des informations liées au vol ?;Orange;Noire;Blanche;Verte;Confirmé;Dans la pratique, les boîtes noires sont de couleur orange ou rouge avec des bandes blanches réfléchissantes.;http://fr.wikipedia.org/wiki/Boîte_noire_(aéronautique)
20;À quel objet du pêcheur se rapporte le terme « madrague » ?;Un filet de pêche;Un épuisette;Une canne à pêche;Un bateau de pêche;Confirmé;Ce filet de pêche fixe est particulièrement conçu pour la pêche aux thons migrant régulièrement en longeant certaines côtes.;http://fr.wikipedia.org/wiki/Madrague
21;Quel autre nom est donné au détecteur de mensonges appliqué sur un individu ?;Polygraphe;Tachigraphe;Détectographe;Mésographe;Expert;Le stress engendré par le mensonge augmenterait sensiblement la transpiration et donc la conductance cutanée.;http://fr.wikipedia.org/wiki/Détecteur_de_mensonge
22;Quel instrument servait autrefois à enfoncer les portes des châteaux-forts ?;Le bélier;Le corbeau;Le scorpion;La baliste;Expert;L’utilisation des béliers a eu un effet important sur l'évolution de la conception des murailles et des fortifications.;http://fr.wikipedia.org/wiki/Bélier_(machine_de_guerre)
23;Quel outil des cordonniers et des bourreliers sert à percer le cuir ?;Une alêne;Un touchau;Un cachet;Un perçoir;Expert;Ce poinçon servant à percer le cuir existe depuis le paléolithique où il servait alors à assembler les peaux.;http://fr.wikipedia.org/wiki/Alêne
24;Quel ciseau à tranchant courbé ou en V sert à sculpter et faire des moulures ?;La gouge;Le burin;La masse;Le fusain;Expert;La gouge a été perfectionnée en Angleterre et réintroduite au faubourg St Antoine par la sœur du roi Louis XIII.;http://fr.wikipedia.org/wiki/Gouge_(outil)
25;Quel récipient cylindrique à fond plat est utilisé dans de nombreux laboratoires ?;Un bécher;Une cuvette;Un décanteur;Une pipette;Expert;Le bécher, signifiant « gobelet » en allemand, est aussi appelé « vase de Berlin » ou « berlin » (surtout en Belgique).;http://fr.wikipedia.org/wiki/Bécher
26;Comment appelle-t-on le petit robinet installé sur les tonneaux à alcool ?;Un chantepleure;Une diluvienne;Une valsesource;Une tendrefontaine;Expert;Ce robinet pour tonneau de vin, souvent fabriqué en laiton, est utilisé avec le pressoir à robinet d'écoulement.;http://fr.wikipedia.org/wiki/Tonneau_(récipient)
27;Quel instrument de navigation maritime sert à mesurer la vitesse des bateaux ?;Le loch;Le compas;Le sextant;La boussole;Expert;La vitesse est simplement obtenue par division de la distance parcourue par le temps passé à effectuer la mesure.;http://fr.wikipedia.org/wiki/Loch_(bateau)
28;Dans quel objet peut-on souffler pour reproduire le chant des oiseaux ?;Un appeau;Un moineau;Un berlingot;Un chat;Expert;L'appeau est utilisé à la chasse pour produire un son ou un bruit particulier attirant les oiseaux ou le gibier.;http://fr.wikipedia.org/wiki/Appeau
29;Pour mesurer le nombre de dents sur un timbre-poste on utilise un...;Odontomètre;Dentomètre;Dentoscope;Odontoscope;Expert;Cet instrument philatélique donne avec précision le nombre exact de dents sur environ deux centimètres.;http://fr.wikipedia.org/wiki/Odontomètre
30;Comment appelle-t-on la partie ronde située au bout des ancres des navires ?;La cigale;La fourmi;Le lièvre;Le lapin;Expert;Les ancres modernes sont conçues pour pénétrer profondément et par leur surface importante, résister à l’ensemble de ces forces.;http://fr.wikipedia.org/wiki/Ancre_(mouillage)1;Qu’est-ce qui s’est lancé à vive allure entre Paris et Lyon en septembre 1980 ?;Le TGV;Le Thalys;Le Transilien;L’Eurostar;Débutant;Le train à grande vitesse atteint régulièrement la vitesse de 320 km/h sur des lignes à grande vitesse (LGV).;http://fr.wikipedia.org/wiki/TGV
2;Dans quelle station spatiale le soviétique Iouri Romanenko a-t-il passé 326 jours ?;Mir;Skylab;Saliout;Tiangong;Débutant;Mir (signifiant « paix » et « monde ») a été placée en orbite le 19 février 1986 et détruite volontairement le 23 mars 2001.;http://fr.wikipedia.org/wiki/Mir_(station_spatiale)
3;Quel moyen de transport est fréquemment utilisé par les médecins en Australie ?;L’avion;Le train;La voiture;La montgolfière;Débutant;L'Australie compte 7 686 850 km2 de superficie dont 34 218 km de côtes et 7 148 250 km2 de zone économique exclusive.;http://fr.wikipedia.org/wiki/Australie
